
test_runs,variables,constraints,timestamp,total_avg,total_max,total_min,feasible_avg,feasible_max,feasible_min,infeas_avg,infeas_max,infeas_min,zero_max,zero_min,zero_avg
10,100,700,2024-11-06 17:06:23.048589,0.0176967,0.036448,2e-06,0.00031840000000000004,0.000507,2e-06,0.035075,0.036448,0.033456,2e-06,2e-06,2e-06
10,100,700,2024-11-06 17:06:36.827636,0.03236699999999999,0.042553,1e-06,1e-06,1e-06,1e-06,0.03596322222222222,0.042553,0.032979,1e-06,1e-06,1e-06
10,100,700,2024-11-06 17:10:25.398232,0.027209300000000002,0.035343,1e-06,1.5e-06,2e-06,1e-06,0.03401125,0.035343,0.033059,2e-06,1e-06,1.5e-06
10,100,700,2024-11-06 17:10:46.469459,0.0274492,0.036991,2e-06,2e-06,2e-06,2e-06,0.034311,0.036991,0.032687,2e-06,2e-06,2e-06
10,100,700,2024-11-06 17:10:49.913580,0.0283634,0.038283,1e-06,1.5e-06,2e-06,1e-06,0.035453874999999996,0.038283,0.032515,2e-06,1e-06,1.5e-06
10,100,700,2024-11-06 17:10:55.758259,0.027187300000000005,0.0364,1e-06,1e-06,1e-06,1e-06,0.033983875000000004,0.0364,0.031406,1e-06,1e-06,1e-06
10,100,700,2024-11-06 17:10:58.860269,0.030922300000000003,0.035937,1e-06,1e-06,1e-06,1e-06,0.034358,0.035937,0.032746,1e-06,1e-06,1e-06
10,100,700,2024-11-06 17:11:28.881353,0.018006900000000003,0.039052,0.000245,0.00027120000000000003,0.000333,0.000245,0.0357426,0.039052,0.034259,nan,nan,nan
10,100,700,2024-11-06 17:11:51.416618,0.0317734,0.039711,2e-06,2e-06,2e-06,2e-06,0.03530355555555555,0.039711,0.031613,2e-06,2e-06,2e-06
10,100,700,2024-11-06 17:11:55.808373,0.0303587,0.034831,2e-06,2e-06,2e-06,2e-06,0.03373166666666667,0.034831,0.032553,2e-06,2e-06,2e-06
10,100,700,2024-11-06 17:12:00.344738,0.0277171,0.038534,1e-06,1e-06,1e-06,1e-06,0.034646125,0.038534,0.032863,1e-06,1e-06,1e-06
10,100,700,2024-11-06 17:12:16.900192,0.0174251,0.037238,1e-06,5.260000000000001e-05,0.000257,1e-06,0.0347976,0.037238,0.032443,2e-06,1e-06,1.4999999999999998e-06
10,100,700,2024-11-06 17:12:20.280247,0.0172093,0.03501,0.000244,0.0003316,0.000502,0.000244,0.034087,0.03501,0.031691,nan,nan,nan
10,100,100,2024-11-17 20:51:32.268437,4.04e-05,5.4e-05,3.4e-05,4.04e-05,5.4e-05,3.4e-05,nan,nan,nan,nan,nan,nan
10,100,100,2024-11-17 20:52:00.435927,3.95e-05,5.9e-05,3.5e-05,3.95e-05,5.9e-05,3.5e-05,nan,nan,nan,nan,nan,nan
10,100,100,2024-11-17 20:52:14.378685,3.8599999999999996e-05,7.5e-05,1e-06,3.8599999999999996e-05,7.5e-05,1e-06,nan,nan,nan,1e-06,1e-06,1e-06
10,100,100,2024-11-17 20:52:32.614783,3.45e-05,6.7e-05,1e-06,3.45e-05,6.7e-05,1e-06,nan,nan,nan,1e-06,1e-06,1e-06
10,100,100,2024-11-17 20:52:35.280890,4.42e-05,6.4e-05,3.4e-05,4.2e-05,5.4e-05,3.4e-05,6.4e-05,6.4e-05,6.4e-05,nan,nan,nan
10,100,100,2024-11-17 20:52:39.332855,2.94e-05,7.9e-05,1e-06,2.3888888888888885e-05,3.7e-05,1e-06,7.9e-05,7.9e-05,7.9e-05,1e-06,1e-06,1e-06
10,100,100,2024-11-17 20:52:43.596985,2.52e-05,4e-05,0.0,2.52e-05,4e-05,0.0,nan,nan,nan,1e-06,0.0,6.666666666666666e-07
10,100,100,2024-11-17 20:52:47.261128,3.4699999999999996e-05,5.5e-05,2e-06,3.4699999999999996e-05,5.5e-05,2e-06,nan,nan,nan,2e-06,2e-06,2e-06
10,100,100,2024-11-17 20:56:50.487963,0.00019009999999999999,0.000498,0.0,2.433333333333333e-05,3.9e-05,0.0,0.00043875,0.000498,0.000358,1e-06,0.0,5e-07
10,100,100,2024-11-17 20:57:04.214074,0.0001955,0.00048,1e-06,3.366666666666666e-05,4.9e-05,1e-06,0.00043825,0.00048,0.000379,1e-06,1e-06,1e-06
10,100,100,2024-11-17 20:57:17.775040,0.00016130000000000002,0.000536,1e-06,4.057142857142857e-05,0.000101,1e-06,0.00044300000000000003,0.000536,0.000338,1e-06,1e-06,1e-06
10,100,100,2024-11-17 20:59:14.112323,0.0002002,0.000482,3.5e-05,4.316666666666666e-05,6.6e-05,3.5e-05,0.00043575,0.000482,0.000366,nan,nan,nan
10,100,100,2024-11-17 20:59:19.499123,0.0002219,0.000445,1e-06,2.16e-05,3.6e-05,1e-06,0.0004222,0.000445,0.000395,1e-06,1e-06,1e-06
10,100,100,2024-11-17 20:59:42.692425,0.0002868,0.000549,1e-06,2.633333333333333e-05,4.2e-05,1e-06,0.0003984285714285714,0.000549,0.000291,1e-06,1e-06,1e-06
10,100,100,2024-11-17 20:59:57.557389,0.00020020000000000004,0.000608,0.0,2.75e-05,5.5e-05,0.0,0.00045925,0.000608,0.000363,1e-06,0.0,5e-07
10,100,100,2024-11-17 21:00:11.115597,0.0002586,0.000449,3.5e-05,3.725e-05,4e-05,3.5e-05,0.00040616666666666666,0.000449,0.000342,nan,nan,nan
10,100,100,2024-11-17 21:00:36.906621,0.0002828,0.000509,3.5e-05,3.5499999999999996e-05,3.6e-05,3.5e-05,0.0004476666666666667,0.000509,0.000326,nan,nan,nan
10,100,100,2024-11-17 21:01:02.231919,0.0003132,0.000498,4.4e-05,5.65e-05,6.9e-05,4.4e-05,0.000377375,0.000498,6.3e-05,nan,nan,nan
10,100,100,2024-11-17 21:01:29.022850,0.00022170000000000002,0.00047,3.4e-05,3.86e-05,4.3e-05,3.4e-05,0.00040480000000000003,0.00047,0.000361,nan,nan,nan
10,100,100,2024-11-17 21:01:33.445685,0.00017690000000000002,0.000572,3.6e-05,4.1400000000000003e-05,6e-05,3.6e-05,0.0003124,0.000572,5.6e-05,nan,nan,nan
10,100,100,2024-11-17 21:01:43.060328,0.00015460000000000002,0.000487,3.5e-05,3.8714285714285715e-05,4.3e-05,3.5e-05,0.00042500000000000003,0.000487,0.000326,nan,nan,nan
10,100,100,2024-11-17 21:01:58.177940,0.0002747,0.000491,5.7e-05,5.9e-05,6.1e-05,5.7e-05,0.00032862500000000003,0.000491,7.4e-05,nan,nan,nan
10,100,100,2024-11-17 21:02:02.874691,0.00031700000000000006,0.000472,5.5e-05,5.85e-05,6.2e-05,5.5e-05,0.000381625,0.000472,9.1e-05,nan,nan,nan
10,100,100,2024-11-17 21:02:06.764159,0.00012049999999999999,0.000414,5.8e-05,8.033333333333334e-05,0.000147,5.8e-05,0.00018074999999999998,0.000414,6.5e-05,nan,nan,nan
10,100,100,2024-11-17 21:02:14.200500,0.00031610000000000004,0.000473,6.9e-05,6.9e-05,6.9e-05,6.9e-05,0.00034355555555555555,0.000473,6.9e-05,nan,nan,nan
10,100,100,2024-11-17 21:02:18.294294,0.00020550000000000003,0.000432,5.9e-05,6.266666666666667e-05,6.6e-05,5.9e-05,0.0002667142857142857,0.000432,7.4e-05,nan,nan,nan
10,100,100,2024-11-17 21:02:28.380494,0.0003024,0.000575,5e-05,8.533333333333332e-05,0.00015,5e-05,0.0003954285714285714,0.000575,7.6e-05,nan,nan,nan
10,100,100,2024-11-17 21:06:37.076713,7.2e-05,0.000161,4.8e-05,6.199999999999999e-05,8.1e-05,4.8e-05,9.533333333333334e-05,0.000161,5.6e-05,nan,nan,nan
10,100,100,2024-11-17 21:07:03.144668,8.94e-05,0.000143,5.9e-05,8.766666666666667e-05,0.000143,5.9e-05,9.2e-05,0.000122,7.4e-05,nan,nan,nan
10,100,100,2024-11-17 21:07:08.020864,7.58e-05,0.000107,5.9e-05,7.1e-05,9.6e-05,5.9e-05,8.3e-05,0.000107,6.7e-05,nan,nan,nan
10,100,100,2024-11-17 21:07:23.143812,7.769999999999999e-05,0.000136,5.9e-05,6.666666666666667e-05,7.5e-05,5.9e-05,9.425e-05,0.000136,7.7e-05,nan,nan,nan
10,100,100,2024-11-17 21:07:28.139741,7.41e-05,9.1e-05,5.4e-05,6.24e-05,6.7e-05,5.4e-05,8.58e-05,9.1e-05,8e-05,nan,nan,nan
10,100,100,2024-11-17 21:07:34.241839,7.73e-05,0.000132,5.7e-05,7.025e-05,0.000106,5.7e-05,0.0001055,0.000132,7.9e-05,nan,nan,nan
10,100,100,2024-11-17 21:07:38.227656,8.850000000000001e-05,0.00018,6.2e-05,7.58e-05,9.9e-05,6.2e-05,0.00010120000000000001,0.00018,6.7e-05,nan,nan,nan
10,100,100,2024-11-17 21:08:01.064998,7.359999999999999e-05,9.4e-05,5.1e-05,6.75e-05,9.2e-05,5.1e-05,8.274999999999999e-05,9.4e-05,7e-05,nan,nan,nan
10,100,100,2024-11-17 21:08:05.692111,6.840000000000001e-05,8.7e-05,5.1e-05,6.45e-05,7.4e-05,5.1e-05,7.425e-05,8.7e-05,6.2e-05,nan,nan,nan
10,100,100,2024-11-17 21:08:10.950941,6.240000000000001e-05,7.8e-05,5.6e-05,5.857142857142857e-05,6.8e-05,5.6e-05,7.133333333333334e-05,7.8e-05,6.5e-05,nan,nan,nan
10,100,100,2024-11-17 21:08:18.797746,5.9000000000000004e-05,7.8e-05,4.7e-05,5.5714285714285715e-05,6.4e-05,4.7e-05,6.666666666666667e-05,7.8e-05,5.4e-05,nan,nan,nan
10,100,100,2024-11-17 21:08:25.655118,5.48e-05,6.3e-05,4.6e-05,5.325e-05,6.3e-05,4.6e-05,6.1e-05,6.3e-05,5.9e-05,nan,nan,nan
10,100,100,2024-11-17 21:08:28.977383,5.89e-05,7.8e-05,4.9e-05,5.4857142857142857e-05,6.1e-05,4.9e-05,6.833333333333333e-05,7.8e-05,5.5e-05,nan,nan,nan
10,100,100,2024-11-17 21:08:43.898224,7.82e-05,0.000128,5.7e-05,7.483333333333333e-05,0.000128,5.7e-05,8.325000000000002e-05,8.9e-05,7.7e-05,nan,nan,nan
10,100,100,2024-11-17 21:08:49.105595,7.14e-05,9.6e-05,5.7e-05,6.514285714285713e-05,7.8e-05,5.7e-05,8.599999999999999e-05,9.6e-05,6.8e-05,nan,nan,nan
10,100,100,2024-11-17 21:09:10.483756,7.089999999999999e-05,9e-05,5.3e-05,6.925e-05,9e-05,5.3e-05,7.75e-05,8e-05,7.5e-05,nan,nan,nan
10,100,100,2024-11-17 21:09:12.641834,7.43e-05,0.000112,6.1e-05,6.533333333333333e-05,7.6e-05,6.1e-05,8.775e-05,0.000112,6.2e-05,nan,nan,nan
10,100,100,2024-11-17 21:09:14.845719,8.27e-05,9.9e-05,6.8e-05,7.425e-05,8.4e-05,6.8e-05,8.833333333333333e-05,9.9e-05,7.6e-05,nan,nan,nan
10,100,100,2024-11-17 21:09:17.611856,7.09e-05,8.5e-05,5.7e-05,6.914285714285714e-05,7.5e-05,5.7e-05,7.5e-05,8.5e-05,6.2e-05,nan,nan,nan
10,100,100,2024-11-17 21:16:43.122247,8.740000000000001e-05,0.000127,5.3e-05,8.471428571428572e-05,0.000127,5.3e-05,9.366666666666666e-05,0.000105,8.6e-05,nan,nan,nan
10,100,100,2024-11-17 21:17:04.390908,7.76e-05,0.000157,5.9e-05,7.900000000000001e-05,0.000157,5.9e-05,7.549999999999999e-05,8.4e-05,6.1e-05,nan,nan,nan
10,100,200,2024-11-17 21:17:05.571353,0.0002362,0.000473,0.00014,0.00014,0.00014,0.00014,0.0002468888888888889,0.000473,0.000156,nan,nan,nan
